Scaffold,PC1,PC2,PC3,PC4,PC5
1,-1.0878824628181554,1.1364398789630448,-0.3334071921869177,0.12001598361984905,-0.08579374177874788
1,-0.35277610087207883,2.529573922009599,1.3470615834710893,-0.4001826265101477,0.13674976409728934
1,-0.5984770999240103,0.8614472989863972,-0.3823876389848266,0.09154994173478194,0.04832849886729072
2,-0.38031251221343443,-0.8434095559630449,-0.8600457037033885,-0.3535682465859687,-0.06511064127921679
2,-0.8948121032181254,-0.6394141658820139,-1.023198747520402,-0.19018733156674764,0.1459959971624722
2,-0.8562289363937274,-0.7048633024001406,-0.9695145857049806,-0.19908048888807578,0.18459007956683002
3,3.3882436297270098,0.12129729161684853,0.1605706425402343,0.05521382098188677,-0.022066117691001263
3,3.2190476702860824,-0.7742308688496643,0.39328214731171407,0.39643040151161346,0.2503833021072965
3,3.1513705710431914,0.19778896572136498,-0.305299687033194,-0.1525631828252586,-0.3083864324868495
4,-1.9598300626411003,-1.0270127324578102,1.1156111920764378,0.21528454729730082,0.08500521741832122
4,-1.4723458583299578,-1.837181444577608,1.4594299344148856,-0.13485136391254499,-0.20785155964363197
4,-2.155996734645694,0.9795647128330286,-0.6021019446806513,0.5519385451433105,-0.16184436634005142
